"","year","FSTATE","post74","dcpoverty","dcunemp","dcblack_per","dcp15t17","dcp18t24","dcp25t34","dcpolice_per1","dcprison_per1","robmin","robmax","mmdate","addondate","mmterm","addonterm","addonminfrac","addonmaxfrac","addontermpost","addonminpost","addonmaxpost","rmurder","rrapetot","rrobtot","rrobgun","raslttot","rasltgun","rburgtot","rlarceny","ralloffense","amurder","arapetot","arobtot","arobgun","aaslttot","aasltgun","aburgtot","alarceny","aalloffense","jmurder","jrapetot","jrobtot","jrobgun","jaslttot","jasltgun","jburgtot","jlarceny","jalloffense","lnrmurder","pcrmurder","lnpcrmurder","lnrrapetot","pcrrapetot","lnpcrrapetot","lnrrobtot","pcrrobtot","lnpcrrobtot","lnrrobgun","pcrrobgun","lnpcrrobgun","lnraslttot","pcraslttot","lnpcraslttot","lnrasltgun","pcrasltgun","lnpcrasltgun","lnrburgtot","pcrburgtot","lnpcrburgtot","lnrlarceny","pcrlarceny","lnpcrlarceny","lnralloffense","pcralloffense","lnpcralloffense","lnamurder","pcamurder","lnpcamurder","lnarapetot","pcarapetot","lnpcarapetot","lnarobtot","pcarobtot","lnpcarobtot","lnarobgun","pcarobgun","lnpcarobgun","lnaaslttot","pcaaslttot","lnpcaaslttot","lnaasltgun","pcaasltgun","lnpcaasltgun","lnaburgtot","pcaburgtot","lnpcaburgtot","lnalarceny","pcalarceny","lnpcalarceny","lnaalloffense","pcaalloffense","lnpcaalloffense","lnjmurder","pcjmurder","lnpcjmurder","lnjrapetot","pcjrapetot","lnpcjrapetot","lnjrobtot","pcjrobtot","lnpcjrobtot","lnjrobgun","pcjrobgun","lnpcjrobgun","lnjaslttot","pcjaslttot","lnpcjaslttot","lnjasltgun","pcjasltgun","lnpcjasltgun","lnjburgtot","pcjburgtot","lnpcjburgtot","lnjlarceny","pcjlarceny","lnpcjlarceny","lnjalloffense","pcjalloffense","lnpcjalloffense","rrobfrac","lnrrobfrac","addonyr","mmyr","relyr","mmrelyr","yaddon","ymm","everaddon","evermm","addonpre70","mmpre70","timey","timeysq"
"1",1965,1,0,NA,NA,NA,NA,NA,NA,NA,NA,10,20,138,NA,10,NA,NA,NA,NA,NA,NA,182,192,710,476,2818,726,11718,20532,39292,112,114,155,78,1370,361,1681,2992,7099,3,12,6,4,55,10,278,443,849,5.20400667190552,11.7785549163818,2.46628046035767,5.25749540328979,12.4257287979126,2.51976919174194,6.56526517868042,45.9493103027344,3.82753872871399,6.16541767120361,30.8054523468018,3.42769169807434,7.94378280639648,182.373458862305,5.20605659484863,6.58755016326904,46.9847869873047,3.84982395172119,9.36888122558594,758.357788085938,6.63115549087524,9.9297399520874,1328.7763671875,7.19201374053955,10.5787763595581,2542.87353515625,7.84105014801025,4.71849870681763,7.24834156036377,1.98077273368835,4.73619842529297,7.37777662277222,1.99847233295441,5.0434250831604,10.0311870574951,2.30569887161255,4.35670900344849,5.04795217514038,1.61898267269135,7.2225661277771,88.6627502441406,4.48483991622925,5.88887786865234,23.3629589080811,3.15115189552307,7.42714405059814,108.789840698242,4.68941783905029,8.00369739532471,193.63427734375,5.26597118377686,8.86770915985107,459.428375244141,6.12998294830322,1.0986123085022,0.194152012467384,-1.63911390304565,2.4849066734314,0.776608049869537,-0.252819508314133,1.7917594909668,0.388304024934769,-0.94596666097641,1.3862943649292,0.258869349956512,-1.35143172740936,4.00733327865601,3.55945348739624,1.26960706710815,2.30258512496948,0.647173345088959,-0.435141086578369,5.62762117385864,17.991418838501,2.88989496231079,6.0935697555542,28.6697807312012,3.35584354400635,6.74405908584595,54.9450187683105,4.0063328742981,0.670422554016113,-0.399847090244293,NA,1981,NA,-16,0,0,0,1,0,0,1,1
"2",1966,1,0,NA,NA,NA,NA,NA,NA,NA,NA,10,20,138,NA,10,NA,NA,NA,NA,NA,NA,172,181,818,586,3299,855,13195,21665,42944,95,90,183,113,1478,358,1758,3534,8224,4,6,3,NA,111,11,308,703,1209,5.14749431610107,10.9027061462402,2.38901114463806,5.19849681854248,11.4731960296631,2.44001364707947,6.706862449646,51.8512420654297,3.94837880134583,6.37331962585449,37.1452674865723,3.61483645439148,8.10137462615967,209.116439819336,5.34289121627808,6.75110149383545,54.196590423584,3.99261808395386,9.48759365081787,836.40234375,6.72910976409912,9.98345375061035,1373.29724121094,7.2249698638916,10.667652130127,2722.12670898438,7.90916872024536,4.55387687683105,6.02184343338013,1.79539346694946,4.49980974197388,5.70490407943726,1.741326212883,5.20948600769043,11.5999717712402,2.45100259780884,4.72738790512085,7.16282415390015,1.96890437602997,7.29844522476196,93.6872100830078,4.53996181488037,5.88053321838379,22.6928424835205,3.12204957008362,7.47193193435669,111.43579864502,4.7134485244751,8.17018604278564,224.012573242188,5.41170215606689,9.01481151580811,521.301452636719,6.25632858276367,1.3862943649292,0.253551304340363,-1.37218904495239,1.7917594909668,0.380326956510544,-0.96672397851944,1.0986123085022,0.190163478255272,-1.65987122058868,NA,NA,NA,4.70953035354614,7.03604888916016,1.95104682445526,2.39789533615112,0.697266101837158,-0.360588163137436,5.73009967803955,19.5234508514404,2.97161626815796,6.55535697937012,44.5616416931152,3.79687333106995,7.0975489616394,76.6358795166016,4.33906555175781,0.716381430625916,-0.33354252576828,NA,1981,NA,-15,0,0,0,1,0,0,2,4
"3",1967,1,0,NA,NA,NA,NA,NA,NA,NA,NA,10,20,138,NA,10,NA,NA,NA,NA,NA,NA,181,192,892,664,3313,845,14122,22017,44945,105,98,188,132,1683,376,2014,3785,9039,1,7,11,9,79,11,397,903,1505,5.19849681854248,11.1372623443604,2.41029644012451,5.25749540328979,11.814112663269,2.46929478645325,6.79346609115601,54.8863983154297,4.00526571273804,6.49828195571899,40.8571395874023,3.71008157730103,8.10560894012451,203.854965209961,5.31740856170654,6.7393364906311,51.9944000244141,3.95113611221313,9.5554895401001,868.952575683594,6.76728868484497,9.9995698928833,1354.74645996094,7.21136951446533,10.7131948471069,2765.54833984375,7.92499399185181,4.65396022796631,6.46084260940552,1.86575973033905,4.58496761322021,6.03011989593506,1.79676687717438,5.23644208908081,11.5679845809937,2.44824123382568,4.88280200958252,8.12220191955566,2.09460139274597,7.4283332824707,103.558074951172,4.64013242721558,5.92958927154541,23.1359691619873,3.14138841629028,7.6078782081604,123.925117492676,4.81967735290527,8.23880100250244,232.897994995117,5.45060062408447,9.10930347442627,556.186279296875,6.3211030960083,0,0.0615318343043327,-2.78820061683655,1.94591009616852,0.430722832679749,-0.842290461063385,2.39789533615112,0.676850199699402,-0.390305310487747,2.19722461700439,0.553786516189575,-0.590975999832153,4.36944770812988,4.86101484298706,1.58124721050262,2.39789533615112,0.676850199699402,-0.390305310487747,5.98393630981445,24.4281387329102,3.19573569297791,6.80572271347046,55.5632476806641,4.01752185821533,7.31654834747314,92.6054153442383,4.52834749221802,0.744394600391388,-0.295184016227722,NA,1981,NA,-14,0,0,0,1,0,0,3,9
"4",1968,1,0,NA,NA,NA,NA,NA,NA,NA,NA,10,20,138,NA,10,NA,NA,NA,NA,NA,NA,215,234,1093,821,3594,921,15280,24014,49153,123,121,211,133,1631,394,1931,4616,9747,1,7,6,4,74,11,297,947,1410,5.37063789367676,13.1744232177734,2.57827734947205,5.45532131195068,14.3386745452881,2.66296029090881,6.99668169021606,66.9750900268555,4.20432090759277,6.71052312850952,50.3079147338867,3.91816234588623,8.18702125549316,220.227340698242,5.39466047286987,6.8254599571228,56.4355506896973,4.03309917449951,9.63430023193359,936.30322265625,6.8419394493103,10.0863924026489,1471.4912109375,7.29403162002563,10.8026933670044,3011.91821289062,8.01033210754395,4.81218433380127,7.53699541091919,2.01982355117798,4.79579067230225,7.41444301605225,2.00342988967896,5.35185813903809,12.9293174743652,2.55949735641479,4.8903489112854,8.14975929260254,2.09798836708069,7.39694881439209,99.9417877197266,4.6045880317688,5.97635078430176,24.1428966522217,3.18399024009705,7.56579351425171,118.32470703125,4.77343273162842,8.43728351593018,282.851806640625,5.64492321014404,9.18471527099609,597.260925292969,6.39235401153564,0,0.0612763874232769,-2.79236078262329,1.94591009616852,0.428934723138809,-0.846450507640839,1.7917594909668,0.367658317089081,-1.00060129165649,1.3862943649292,0.245105549693108,-1.4060662984848,4.30406522750854,4.53445243835449,1.51170432567596,2.39789533615112,0.674040257930756,-0.394465446472168,5.69373226165771,18.1990871429443,2.90137147903442,6.85329914093018,58.0287399291992,4.06093835830688,7.25134515762329,86.3997039794922,4.458984375,0.751143634319305,-0.286158382892609,NA,1981,NA,-13,0,0,0,1,0,0,4,16
"5",1969,1,0,NA,NA,NA,NA,NA,NA,NA,NA,10,20,138,NA,10,NA,NA,NA,NA,NA,NA,243,259,1071,760,3585,936,15938,24905,50819,117,110,230,164,1262,380,1887,3867,8311,4,7,17,12,45,11,447,806,1374,5.49306154251099,14.863076210022,2.6988799571991,5.55682802200317,15.8417148590088,2.76264667510986,6.97634792327881,65.5076293945312,4.1821665763855,6.63331842422485,46.4853401184082,3.83913707733154,8.18451404571533,219.276245117188,5.39033222198486,6.84161567687988,57.2503662109375,4.04743385314941,9.6764612197876,974.846557617188,6.88227987289429,10.12282371521,1523.31237792969,7.32864236831665,10.8360252380371,3108.34008789062,8.04184436798096,4.76217412948608,7.15629577636719,1.96799254417419,4.70048046112061,6.72814130783081,1.90629887580872,5.43807935714722,14.0679321289062,2.64389777183533,5.09986639022827,10.0310468673706,2.30568504333496,7.14045286178589,77.1901321411133,4.34627151489258,5.94017124176025,23.2426700592041,3.14598989486694,7.54274368286133,115.41820526123,4.74856233596802,8.26023387908936,236.524749755859,5.4660530090332,9.02533531188965,508.341674804688,6.23115396499634,1.3862943649292,0.244659692049026,-1.4078871011734,1.94591009616852,0.428154468536377,-0.848271250724792,2.83321332931519,1.03980374336243,0.0390319861471653,2.4849066734314,0.733979046344757,-0.309274792671204,3.80666255950928,2.75242161750793,1.01248109340668,2.39789533615112,0.672814130783081,-0.396286159753799,6.10255861282349,27.3407211303711,3.30837726593018,6.69208383560181,49.2989273071289,3.89790225028992,7.22548151016235,84.0406036376953,4.43130016326904,0.70961719751358,-0.343029618263245,NA,1981,NA,-12,0,0,0,1,0,0,5,25
"6",1970,1,0,23.8999996185303,5.90000009536743,26.1750812530518,5.79736042022705,12.087495803833,12.0005359649658,116.889533996582,120.348838806152,10,20,138,NA,10,NA,NA,NA,NA,NA,NA,194,323,1305,901,3579,913,18343,28234,58206,115,155,302,226,1399,384,2793,4408,10178,NA,19,19,14,78,6,641,773,1678,5.26785802841187,13.1288747787476,2.57481408119202,5.77765226364136,21.8589000701904,3.08460807800293,7.17395830154419,88.3153686523438,4.48091411590576,6.80350542068481,60.9748268127441,4.11046123504639,8.18283843994141,242.207443237305,5.48979473114014,6.81673574447632,61.786922454834,4.12369155883789,9.81700325012207,1241.35546875,7.12395906448364,10.2482824325562,1910.72497558594,7.55523824691772,10.9717435836792,3939.06860351562,8.27869987487793,4.74493217468262,7.78258037567139,2.05188798904419,5.0434250831604,10.4895648956299,2.35038089752197,5.71042680740356,20.4377326965332,3.01738286018372,5.42053508758545,15.2944622039795,2.72749090194702,7.2435131072998,94.6767807006836,4.55046892166138,5.95064258575439,25.9870510101318,3.25759840011597,7.93487167358398,189.015197753906,5.24182748794556,8.39117622375488,298.309692382812,5.69813203811646,9.22798347473145,688.792175292969,6.53493976593018,NA,NA,NA,2.94443893432617,1.28581762313843,0.251394808292389,2.94443893432617,1.28581762313843,0.251394808292389,2.63905739784241,0.947444558143616,-0.0539868585765362,4.35670900344849,5.27861976623535,1.66366469860077,1.7917594909668,0.40604767203331,-0.901284694671631,6.46302938461304,43.3794250488281,3.76998519897461,6.65027904510498,52.3124771118164,3.95723485946655,7.42535781860352,113.557998657227,4.73231363296509,0.690421462059021,-0.370453059673309,NA,1981,NA,-11,0,0,0,1,0,0,6,36
"7",1971,1,0,22.3999996185303,5.5,26.0761260986328,6.29029369354248,12.3518495559692,11.8943729400635,121.483680725098,109.859977722168,10,20,138,NA,10,NA,NA,NA,NA,NA,NA,252,349,1563,1145,3616,1014,19144,27673,58908,220,211,464,325,2367,578,3535,6097,14266,3,18,27,18,56,14,412,679,1299,5.52942895889282,16.9442176818848,2.82992672920227,5.85507202148438,23.4663963317871,3.15556955337524,7.35436248779297,105.094497680664,4.65486001968384,7.04315996170044,76.9886093139648,4.34365749359131,8.19312381744385,243.136077880859,5.49362134933472,6.92165803909302,68.180305480957,4.22215557098389,9.85974502563477,1287.22265625,7.16024208068848,10.2282123565674,1860.70373535156,7.52870988845825,10.9837322235107,3960.91259765625,8.28422927856445,5.39362764358521,14.7925710678101,2.69412517547607,5.35185813903809,14.1874208450317,2.65235567092896,6.13988447189331,31.1988773345947,3.44038200378418,5.78382539749146,21.8526611328125,3.08432269096375,7.76937866210938,159.15461730957,5.06987619400024,6.35957384109497,38.8641204833984,3.66007137298584,8.1704683303833,237.689727783203,5.47096633911133,8.71555233001709,409.955932617188,6.01604986190796,9.56563472747803,959.231018066406,6.86613178253174,1.0986123085022,0.201716884970665,-1.60089015960693,2.89037179946899,1.21030128002167,0.190869316458702,3.29583692550659,1.81545186042786,0.596334397792816,2.89037179946899,1.21030128002167,0.190869316458702,4.02535152435303,3.76538181304932,1.32584929466248,2.63905739784241,0.941345453262329,-0.0604450926184654,6.02102327346802,27.7024517059326,3.32152080535889,6.52062129974365,45.6552543640137,3.82111859321594,7.16935014724731,87.3434066772461,4.46984767913818,0.732565581798553,-0.31120240688324,NA,1981,NA,-10,0,0,0,1,0,0,7,49
"8",1972,1,0,20.8999996185303,4.5,26.0163612365723,6.35578870773315,12.4008493423462,12.4008493423462,121.945922851562,109.308151245117,10,20,138,NA,10,NA,NA,NA,NA,NA,NA,218,388,1822,1355,3388,1048,18739,26308,56392,167,266,622,451,2000,565,3611,6675,14907,4,26,44,24,99,25,712,1448,2563,5.3844952583313,14.6125917434692,2.6818835735321,5.96100521087646,26.0077323913574,3.25839400291443,7.50768995285034,122.129096984863,4.80507850646973,7.21155691146851,90.8259735107422,4.50894546508789,8.12799549102783,227.098449707031,5.42538356781006,6.95463895797729,70.247688293457,4.25202751159668,9.8383617401123,1256.07958984375,7.13575077056885,10.1776285171509,1763.43151855469,7.47501707077026,10.9400825500488,3779.96923828125,8.23747158050537,5.11799383163452,11.1940498352051,2.41538238525391,5.58349609375,17.8300437927246,2.88088488578796,6.4329400062561,41.6928100585938,3.73032879829407,6.1114673614502,30.2306385040283,3.40885591506958,7.60090255737305,134.060470581055,4.89829111099243,6.33682584762573,37.8720855712891,3.63421440124512,8.19174003601074,242.046188354492,5.48912858963013,8.80612468719482,447.426849365234,6.10351324081421,9.60958576202393,999.219787597656,6.90697479248047,1.3862943649292,0.268120944499969,-1.31631708145142,3.25809645652771,1.74278616905212,0.55548506975174,3.78418970108032,2.9493305683136,1.08157825469971,3.178053855896,1.60872578620911,0.475442439317703,4.59511995315552,6.63599348068237,1.89250838756561,3.21887588500977,1.67575597763062,0.516264379024506,6.56807804107666,47.725528717041,3.86546635627747,7.27793836593628,97.0597839355469,4.57532691955566,7.84893369674683,171.79850769043,5.14632225036621,0.743688225746155,-0.296133369207382,NA,1981,NA,-9,0,0,0,1,0,0,8,64
"9",1973,1,0,19.3999996185303,4.5,26.0000019073486,6.33942031860352,12.5950603485107,12.8464021682739,126.663803100586,102.596549987793,10,20,138,NA,10,NA,NA,NA,NA,NA,NA,213,482,2056,1501,3698,1082,20498,26612,59825,194,321,746,561,2577,719,3571,6832,15690,7,29,62,44,102,20,613,1196,2153,5.36129236221313,14.1378784179688,2.64885759353638,6.17794418334961,31.9927577972412,3.46550965309143,7.62851762771606,136.467025756836,4.91608285903931,7.31388664245605,99.6288986206055,4.60145235061646,8.21554756164551,245.454803466797,5.50311279296875,6.9865665435791,71.8177642822266,4.27413177490234,9.92808246612549,1360.55505371094,7.21564817428589,10.1891174316406,1766.37194824219,7.47668313980103,10.9991788864136,3970.88525390625,8.28674411773682,5.26785802841187,12.8767528533936,2.55542349815369,5.7714409828186,21.3063793182373,3.05900645256042,6.6147255897522,49.5157623291016,3.90229105949402,6.32972097396851,37.2363815307617,3.61728620529175,7.85438108444214,171.048416137695,5.14194679260254,6.57786130905151,47.7236366271973,3.86542677879333,8.18060111999512,237.025177001953,5.46816635131836,8.82937240600586,453.474090576172,6.11693811416626,9.66077899932861,1041.42395019531,6.94834423065186,1.94591009616852,0.464625090360641,-0.766524434089661,3.36729574203491,1.9248753786087,0.654861211776733,4.12713432312012,4.11525106430054,1.41469979286194,3.78418970108032,2.92050075531006,1.07175505161285,4.62497282028198,6.77025175094604,1.9125382900238,2.99573230743408,1.32750034332275,0.283297747373581,6.41836500167847,40.6878852844238,3.70593047142029,7.08673810958862,79.384521484375,4.37430334091187,7.67461729049683,142.905410766602,4.96218299865723,0.730058372020721,-0.314630776643753,NA,1981,NA,-8,0,0,0,1,0,0,9,81
"10",1974,1,0,17.8999996185303,5.5,25.9109840393066,6.31235694885254,12.7349729537964,13.3138360977173,94.588623046875,103.134269714355,10,20,138,NA,10,NA,NA,NA,NA,NA,NA,286,479,2657,1711,7391,1288,24145,33641,75656,253,256,1015,688,5859,854,4795,8304,22068,15,15,53,32,355,43,796,1648,3014,5.65599203109741,19.0666027069092,2.94793820381165,6.1717004776001,31.9332275390625,3.46364712715149,7.88495302200317,177.132736206055,5.17689943313599,7.44483327865601,114.066284179688,4.73677968978882,8.90801811218262,492.731689453125,6.19996500015259,7.16084575653076,85.8663787841797,4.45279216766357,10.0918321609497,1609.66125488281,7.38377904891968,10.4235010147095,2242.72583007812,7.71544742584229,11.2339515686035,5043.71630859375,8.52589797973633,5.53338956832886,16.8666095733643,2.82533597946167,5.5451774597168,17.0666103363037,2.83712387084961,6.92264366149902,67.6664428710938,4.21459054946899,6.53378868103027,45.866512298584,3.82573533058167,8.6757345199585,390.598693847656,5.96768045425415,6.74993133544922,56.9331436157227,4.04187774658203,8.47532939910889,319.665588378906,5.76727533340454,9.02449226379395,553.59814453125,6.31643915176392,10.0018835067749,1471.19506835938,7.29383039474487,2.70805025100708,0.999996662139893,-3.33786579176376e-06,2.70805025100708,0.999996662139893,-3.33786579176376e-06,3.97029185295105,3.53332161903381,1.26223838329315,3.465735912323,2.13332629203796,0.757682383060455,5.87211799621582,23.6665878295898,3.16406416893005,3.76120018959045,2.8666570186615,1.05314660072327,6.67959928512573,53.0664901733398,3.97154569625854,7.40731763839722,109.866302490234,4.69926404953003,8.01102352142334,200.932662963867,5.30296993255615,0.64395934343338,-0.440119683742523,NA,1981,NA,-7,0,0,0,1,0,0,10,100
